Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,Salary,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro,YearsCodeProNew,YearsCodeProCat,.fitted,cnts
2096,I am a developer by profession,Yes,34,8,Yearly,134000,134000,United States,United States dollar,USD,Cassandra;PostgreSQL,Cassandra;PostgreSQL,DevOps Specialist,Associate,Employed full-time,White or of European descent,Woman,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture",Very satisfied,I am not interested in new job opportunities,Java;JavaScript;Rust;SQL,HTML/CSS;Java;JavaScript;Python;SQL,Node.js,Apache Spark;Node.js;Pandas,Gitlab;Trello,"Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Not at all important/not necessary,Curious about other opportunities;Better compensation;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once every few years,No,Onboarding? What onboarding?,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations),Do other work and come back later,Linux-based,20 to 99 employees,Docker;Linux,AWS;Docker;Linux,I have a great deal of influence,Bisexual,Yes,"No, not really",NA,Multiple times per day,Easy,Appropriate in length,Yes,"Computer science, computer engineering, or software engineering",NA,jQuery;React.js,A lot less welcome now than last year,40,26,15,15,15-19 years,0.0221728911637059,1
32267,I am a developer by profession,Yes,25,11,Yearly,86655,86655,United States,United States dollar,USD,MongoDB,NA,Desktop or Enterprise Applications Developer,Bachelor's,Employed full-time,Middle Eastern,Man,"Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization;Office environment or company culture",Very dissatisfied,I am actively looking for a job,C#;HTML/CSS;JavaScript;Python;SQL,C#;HTML/CSS;JavaScript,.NET Core;Node.js;React Native,.NET,Github;Slack,Confluence,Yes,Extremely important,Somewhat important,Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Once a year,No,Onboarding? What onboarding?,Yes,Sometimes: 1-2 days per month but less than weekly,NA,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,Windows,500 to 999 employees,iOS;Linux;MacOS;Raspberry Pi,Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per week,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Flask;React.js,jQuery;React.js,Just as welcome now as I felt last year,40,14,4,4,Less than 5 years,0.022173090576906047,1
16840,I am a developer by profession,No,48,6,Yearly,300000,300000,United States,United States dollar,USD,NA,NA,Mobile Developer,Less than Bachelor's Degree,Employed full-time,White or of European descent,Man,Financial performance or funding status of the company or organization;Opportunities for professional development;Family friendliness,Very satisfied,I am not interested in new job opportunities,Bash/Shell/PowerShell;C;Objective-C;Python;Swift,Bash/Shell/PowerShell;C;Objective-C;Python,NA,NA,Confluence;Github;Slack,Confluence;Github;Slack,Yes,Extremely important,Very important,Better compensation;Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,Not sure,Yes,Yes,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow for Teams (private Q&A for organizations),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later;Visit another developer community (please name):,MacOS,"10,000 or more employees",iOS;MacOS,iOS;MacOS,I have some influence,Bisexual,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per month or weekly,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,Somewhat less welcome now than last year,45,42,22,22,20-24 years,0.024819824939919737,1
2096,I am a developer by profession,Yes,34,8,Yearly,134000,134000,United States,United States dollar,USD,Cassandra;PostgreSQL,Cassandra;PostgreSQL,System Administrator,Associate,Employed full-time,White or of European descent,Woman,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture",Very satisfied,I am not interested in new job opportunities,Java;JavaScript;Rust;SQL,HTML/CSS;Java;JavaScript;Python;SQL,Node.js,Apache Spark;Node.js;Pandas,Gitlab;Trello,"Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Not at all important/not necessary,Curious about other opportunities;Better compensation;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once every few years,No,Onboarding? What onboarding?,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations),Do other work and come back later,Linux-based,20 to 99 employees,Docker;Linux,AWS;Docker;Linux,I have a great deal of influence,Bisexual,Yes,"No, not really",NA,Multiple times per day,Easy,Appropriate in length,Yes,"Computer science, computer engineering, or software engineering",NA,jQuery;React.js,A lot less welcome now than last year,40,26,15,15,15-19 years,0.02483207430870944,1
56958,I am a developer by profession,Yes,45,8,Yearly,90000,90000,United States,United States dollar,USD,Microsoft SQL Server,Microsoft SQL Server,Database Administrator,Graduate,Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization;Opportunities for professional development",Very satisfied,I am not interested in new job opportunities,C#;JavaScript;SQL,C#;JavaScript;SQL,.NET;.NET Core,.NET;.NET Core,Microsoft Teams;Microsoft Azure,Confluence;Jira;Gitlab;Slack;Microsoft Teams;Microsoft Azure,No,Somewhat important,Very important,NA,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once every few years,No,No,No,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Windows,"1,000 to 4,999 employees",Microsoft Azure;Windows,AWS;Microsoft Azure;Windows,I have some influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET;ASP.NET Core;jQuery,ASP.NET;ASP.NET Core;jQuery,Somewhat more welcome now than last year,45,37,21,21,20-24 years,0.024981179710244057,1
29563,I am a developer by profession,Yes,59,18,Yearly,51000,51000,United States,United States dollar,USD,Microsoft SQL Server,Microsoft SQL Server,Database Administrator,Less than Bachelor's Degree,Employed full-time,White or of European descent,Woman,"Languages, frameworks, and other technologies I’d be working with;Remote work options;How widely used or impactful my work output would be",Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",C#;JavaScript;Python;SQL,HTML/CSS;JavaScript;SQL;VBA,Node.js;Unity 3D,NA,Github,Github,No,Not at all important,Not at all important/not necessary,Curious about other opportunities;Better compensation;Better work/life balance,"Read company media, such as employee blogs or company culture videos",Once every few years,Yes,Onboarding? What onboarding?,No,Often: 1-2 days per week or more,Start a free trial;Read ratings or reviews on third party sites like G2Crowd,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Do other work and come back later,Windows,10 to 19 employees,Android;Windows,Windows,I have a great deal of influence,Straight / Heterosexual,Yes,Neutral,A few times per month or weekly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,Somewhat less welcome now than last year,40,41,25,25,25-29 years,0.02498573365946209,1
48331,I am a developer by profession,Yes,31,8,Yearly,130000,130000,United States,United States dollar,USD,NA,DynamoDB;Elasticsearch;MongoDB;MySQL;Redis,Full-Stack Developer,Less than Bachelor's Degree,Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C++;Go;Scala,Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;PHP;Python;SQL,Apache Spark;TensorFlow,Node.js;Teraform,Stack Overflow for Teams,"Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Somewhat important,Just because;Having a bad day (or week or month) at work;Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Trouble with leadership at my company;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once a year,Not sure,Onboarding? What onboarding?,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,MacOS,10 to 19 employees,Kubernetes,AWS;Docker;MacOS;Slack Apps and Integrations,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,I never declared a major,React.js,Express;jQuery;Laravel;Ruby on Rails;Symfony,Just as welcome now as I felt last year,40,25,13,13,10-14 years,0.025520216651583848,1
42595,I am a developer by profession,No,60,20,Yearly,88900,88900,United States,United States dollar,USD,NA,Microsoft SQL Server,Desktop or Enterprise Applications Developer,Less than Bachelor's Degree,Employed full-time,White or of European descent,Woman,Diversity of the company or organization;Remote work options;Office environment or company culture,Slightly dissatisfied,I am actively looking for a job,NA,C#;HTML/CSS;JavaScript;SQL,NA,.NET,NA,"Microsoft Teams;Google Suite (Docs, Meet, etc)",No,Somewhat important,Somewhat important,Better work/life balance;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)",Once every few years,No,No,No,Often: 1-2 days per week or more,Start a free trial,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Visit Stack Overflow,Windows,"1,000 to 4,999 employees",NA,Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,Multiple times per day,Easy,Appropriate in length,Yes,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",NA,ASP.NET;jQuery,Just as welcome now as I felt last year,42,40,38,38,35-39 years,0.02552814653488492,1
25229,I am a developer by profession,Yes,28,16,Yearly,110000,110000,United States,United States dollar,USD,DynamoDB;MongoDB,DynamoDB;Elasticsearch;MongoDB,DevOps Specialist,Bachelor's,Employed full-time,Middle Eastern,Woman,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Remote work options",Neither satisfied nor dissatisfied,I am actively looking for a job,Go;Rust,Go;Rust,NA,Ansible;Node.js;Puppet;Teraform,Github;Slack,Confluence;Jira;Github;Gitlab;Slack;Trello,Yes,Extremely important,Not at all important/not necessary,Better compensation;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)",Every few months,Yes,No,Yes,Rarely: 1-2 days per year or less,Start a free trial,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Go for a walk or other physical activity,MacOS,500 to 999 employees,AWS;Docker;Kubernetes;Linux;MacOS;Raspberry Pi;Slack Apps and Integrations,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS;Slack Apps and Integrations,I have some influence,Straight / Heterosexual,Yes,Neutral,A few times per month or weekly,A few times per month or weekly,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,Just as welcome now as I felt last year,40,8,3,3,Less than 5 years,0.02569657852293429,1
50181,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,45,9,Yearly,128000,128000,United States,United States dollar,USD,Elasticsearch;Microsoft SQL Server;MongoDB,MariaDB;Microsoft SQL Server;MongoDB;Redis,Desktop or Enterprise Applications Developer,Bachelor's,Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;How widely used or impactful my work output would be;Office environment or company culture,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;Kotlin;Python;Swift;VBA,Bash/Shell/PowerShell;C;Go;HTML/CSS;Java;JavaScript;Perl;PHP;SQL,Node.js;React Native;TensorFlow;Torch/PyTorch;Unity 3D,NA,"Github;Microsoft Azure;Google Suite (Docs, Meet, etc)","Github;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",No,Somewhat important,Somewhat important,Better compensation;Better work/life balance;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a decade,No,Yes,Yes,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,"1,000 to 4,999 employees",Android;Arduino;AWS;Linux;MacOS;Microsoft Azure;Raspberry Pi;Windows;WordPress,Arduino;Heroku;iOS;Linux;MacOS;Microsoft Azure;Raspberry Pi;Windows,I have some influence,NA,Yes,"Yes, somewhat",A few times per month or weekly,Multiple times per day,Easy,Appropriate in length,No,"A business discipline (such as accounting, finance, marketing, etc.)",Angular;jQuery;React.js;Vue.js,jQuery;Vue.js,Just as welcome now as I felt last year,41,39,23,23,20-24 years,0.025698989123529477,1
